Manufacturer,BAe,BAe,BAe,BAe,CADAIR,CADAIR,EMBRAER,FOKKER,FOKKER,FOKKER
Type,,,,,Reg. Jet,Reg. Jet,,,,
Model,RJ70,RJ85,RJ100,RJ115,100,100ER,EMB-145,F70,F100,F130
Initial service date,1982,1982,1982,1982,1992,1992,1997,1988,1988,?
In service (ordered),,,,,,,,,,
Africa,--->,--->,--->,2,--->,6,-,-,1,-
Middle East/Asia/Pacific,--->,--->,--->,71,--->,5,(2),5,32,-
Europe & CIS,--->,--->,--->,148(22),--->,84(46),21(25),37,57,-
North & South America,--->,--->,--->,46,--->,158(182),62(86),,177,-
Total aircraft,--->,--->,--->,267(22),--->,253(228),83(113),42,267,-
Engine Manufacturer,Textron,Textron,Textron,Textron,GE,GE,Allison,R-R,R-R,?
Model / Type,LF507,LF507,LF507,LF507,CF34-3A1,CF34-3A1,AE3007A,Tay 620,Tay 620,?
No. of engines,4,4,4,4,2,2,2,2,2,2
Static Thrust (kN),27.3,31.1,31.1,31.1,41.0,41.0,31.3,61.6,61.6,
Operational Items:,,,,,,,,,,
Accomodation:,,,,,,,,,,
Max. seats (single class),94,112,112,128,52,52,50,79,119,
Two class seating,70,85,100,115,-,-,-,70,107,137
Three class seating,-,-,-,-,-,-,-,-,-,-
No. abreast,6,6,6,6,4,4,3,-,-,-
Hold volume (m3),13.70,18.30,22.99,22.99,14.04,14.04,13.61,12.78,16.72,
Volume per passenger,0.15,0.16,0.21,0.18,0.27,0.27,0.27,0.16,0.14,
Mass (Weight) (kg):,,,,,,,,,,
Ramp,41049,42410,44452,46266,21636,23246,19300,36965,43320,55565
Max. take-off,40823,42184,44225,46040,21523,23133,19200,36740,43090,55340
Max. landing,37875,38555,40143,40143,20275,21319,18700,34020,38780,51255
Zero-fuel,32432,35834,37421,37421,19141,19958,17100,31975,35830,48080
Max. payload,9072,11749,12429,11265,5488,6295,5515,9302,11108,16525
Max. fuel payload,7213,7848,8982,10095,3630,3006,3498.2,6355,7805,13093
Design payload,6650,8075,9500,10925,4940,4940,4750,6650,10165,13015
Design fuel load,10813,10023,9732,8955,2930,4530,2865,7417,8332,10770
Operational empty,23360,24086,24993,26160,13653,13663,11585,22673,24593,31555
Weight Ratios:,,,,,,,,,,
Ops empty/Max. T/O,0.572,0.571,0.565,0.568,0.634,0.591,0.603,0.617,0.571,0.570
Max. payload/Max. T/O,0.222,0.279,0.281,0.245,0.255,0.272,0.287,0.253,0.258,0.299
Max. fuel/Max. T/O,0.227,0.220,0.209,0.221,0.195,0.276,0.212,0.207,0.245,0.191
Max. landing/Max. T/O,0.928,0.914,0.908,0.872,0.942,0.922,0.974,0.926,0.900,0.926
Fuel (litres):,,,,,,,,,,
Standard,11728,11728,11728,12901,5300,8080,5146,9640,13365,13365
Optional,12901,12901,12901,,,,,13365,,
,,,,,,,,,,
DIMENSIONS,,,,,,,,,,
Fuselage:,,,,,,,,,,
Length (m),24.00,26.50,28.90,28.90,24.38,24.38,27.93,27.88,32.50,38.80
Height (m),3.56,3.56,3.56,3.56,2.69,2.69,2.28,3.30,3.30,3.30
Width (m),3.56,3.56,3.56,3.56,2.69,2.69,2.28,3.30,3.30,3.30
Finess Ratio,6.74,7.44,8.12,8.12,9.06,9.06,12.25,8.45,9.85,11.76
Wing:,,,,,,,,,,
Area (mý),77.30,77.30,77.30,77.30,54.54,54.54,51.18,93.50,93.50,114.00
Span (m),26.21,26.21,26.21,26.21,20.52,20.52,20.04,28.08,28.08,31.09
