,LSA,LSA,GA,GA2,sailplanes,sailplanes2,propliners,propliners2,bizjets,bizjets2,jetliners,jetliners2
grossWeight,400,1430,1500,12500,280,1700,12000,55000,20000,100000,75000,1300000
emptyWeight,200,880,800,3000,100,1100,7000,26000,7000,50000,40000,550000
wingSpan,17,35,30,45,35,101,45,100,44,70,90,290
S,75,160,150,400,120,250,300,860,200,1400,900,10000
AR,5,12,6,11,10,51,6,13,5,12.8,7,10
taper,0.5,1,0.3,1,0.4,0.5,0.35,1,0.3,0.5,0.2,0.5
HTAR,3,5,3,5,5,7.7,3,6,4.5,6.5,3,4
HTtaper,0.5,1,0.5,1,0.5,1,0.5,1,0.4,0.7,0.3,0.7
VTAR,0.7,3,1,2,1,3,1,3,1,3,1,3
VTtaper,0.3,1,0.5,1,0.5,1,0.5,0.9,0.4,0.9,0.5,1
