Type,A300-,A310-,A319-,A320-,A321-,A330-,A330-,A340-,A340-,A340-,A340-,A3XX-
Model,600R,300,100,200,200,200,300,200,300,500,600,100
Initial service date,1974,1983,1995,1988,1993,1998,1994,1993,1994,2002,2002,2004
No. of engines,2,2,2,2,2,2,2,4,4,4,4,4
Static thrust (kN),257,231,99.7,111.2,142,310,300,139,151,235.8,249.1,294
Max. seats (single class),375,280,153,179,220,380,440,440,440,440,475,850
No. abreast,9,9,6,6,6,9,9,9,9,9,9,10+8
Ramp,171400,150900,64400,73900,89400,230900,217900,257900,271900,365900,365900,540900
Max. take-off,170500,150000,64000,73500,89000,230000,217000,257000,271000,365000,365000,540000
Max. landing,140000,123000,61000,64500,73500,177150,179000,181000,190000,236000,254000,381000
Zero-fuel,130000,113000,57000,60500,71500,165142,169000,172000,178000,222000,240000,356000
Max. payload,41100,33300,17390,19190,22780,36400,48400,49400,48150,51635,63000,85000
Max. fuel payload,27100,21500,5360,13500,19060,0,18600,21220,33160,31450,29311,15400
Design payload,25270,20710,11780,14250,17670,24035,28025,24890,28025,29735,36100,52725
Design fuel load,56330,49624,13020,17940,23330,85765,70786,111882,113125,164875,151890,216275
Operational empty,88900,79666,39200,41310,48000,120200,118189,120228,129850,170390,177010,271000
Ops empty/Max. T/O,0.521,0.531,0.613,0.562,0.539,0.523,0.545,0.468,0.479,0.467,0.485,0.502
Max. payload/Max. T/O,0.241,0.222,0.272,0.261,0.256,0.158,0.223,0.192,0.178,0.141,0.173,0.157
Max. fuel/Max. T/O,0.316,0.322,0.295,0.256,0.21,0.478,0.358,0.43,0.412,0.423,0.423,0.464
Max. landing/Max. T/O,0.821,0.82,0.953,0.878,0.826,0.77,0.825,0.704,0.701,0.647,0.696,0.706
Fuel (litres):,,,,,,,,,,,,
Standard,68150,61100,23860,23860,23700,139090,98250,140000,141500,195620,195620,317000
Area (mý),260,219,122.4,122.4,122.4,363.1,363.1,363.1,363.1,437.3,437.3,817
Span (m),44.84,43.89,33.91,33.91,33.91,58,58,58,58,61.2,61.2,79.8
