Date,Value
2016-09-30,465600.0
2016-08-31,470100.0
2016-07-31,474500.0
2016-06-30,480900.0
2016-05-31,491400.0
2016-04-30,503600.0
2016-02-29,518900.0
2016-01-31,516300.0
2015-12-31,514500.0
2015-11-30,513400.0
2015-10-31,512000.0
2015-09-30,510600.0
2015-08-31,501600.0
2015-07-31,502300.0
2015-06-30,502300.0
2015-05-31,501500.0
2015-04-30,500100.0
2015-03-31,495800.0
2015-02-28,492700.0
2015-01-31,493000.0
2014-12-31,494200.0
2014-11-30,490900.0
2014-10-31,486000.0
2014-09-30,479800.0
2014-08-31,473900.0
2014-07-31,467100.0
2014-06-30,461400.0
2014-05-31,455400.0
2014-04-30,450500.0
2014-03-31,450300.0
2014-02-28,446600.0
2014-01-31,431500.0
2013-12-31,420300.0
2013-11-30,422200.0
2013-10-31,424200.0
2013-09-30,419900.0
2013-08-31,420300.0
2013-07-31,422100.0
2013-06-30,412900.0
2013-05-31,399600.0
2013-04-30,392600.0
2013-03-31,389500.0
2013-02-28,384500.0
2013-01-31,377800.0
2012-12-31,369700.0
2012-11-30,364700.0
2012-10-31,363300.0
2012-09-30,368200.0
2012-08-31,370900.0
2012-07-31,363000.0
2012-06-30,350300.0
2012-05-31,352100.0
2012-04-30,358000.0
2012-03-31,357600.0
2012-02-29,356800.0
2012-01-31,354800.0
2011-12-31,345000.0
2011-11-30,343200.0
2011-10-31,347200.0
2011-09-30,348500.0
2011-08-31,346400.0
2011-07-31,348900.0
2011-06-30,353800.0
2011-05-31,354200.0
2011-04-30,347700.0
2011-03-31,348500.0
2011-02-28,353000.0
2011-01-31,358500.0
2010-12-31,361200.0
2010-11-30,354600.0
2010-10-31,347900.0
2010-09-30,350000.0
2010-08-31,354100.0
2010-07-31,355100.0
2010-06-30,357000.0
2010-05-31,356800.0
2010-04-30,359400.0
2010-03-31,357300.0
2010-02-28,347300.0
2010-01-31,347200.0
2009-12-31,362300.0
2009-11-30,370400.0
2009-10-31,367200.0
2009-09-30,366000.0
2009-08-31,369100.0
2009-07-31,369600.0
2009-06-30,366300.0
2009-05-31,362800.0
2009-04-30,360500.0
2009-03-31,356500.0
2009-02-28,353400.0
2009-01-31,349800.0
2008-12-31,345100.0
2008-11-30,341500.0
2008-10-31,339300.0
