Manufacturer,BOEING,BOEING,BOEING,BOEING,BOEING,BOEING,BOEING,BOEING,BOEING,
Type,747-,747-,747-,757-,757-,767-,767-,767-,767-,
Model,100,200,400,200,300,200,200ER,300,300ER,
Initial service date,1969,1972,1988,1982,1999,1982,1982,1982,1982,
In service (ordered),,,,,,,,,,
Africa,3,10,7(1),8,-,--->,11,--->,9,
Middle East/Asia/Pacific,39,139,270(66),65(5),(2),--->,56,--->,145(8),
Europe & CIS,23,112,117(20),181(20),(15),--->,15,--->,125(5),
North & South America,49,103,52(34),551(61),-,--->,136,--->,210(39),
Total aircraft,114,364,446(121),805(86),(17),--->,218,--->,489(52),
Engine Manufacturer,P&W,R-R,P&W,R-R,R-R,GE,GE,GE,GE,
Model / Type,JT9D-7A,RB211-524D4,4056,RB211-535E4B,RB211-535E4B,CF6-80A,CF6-80C2B4F,CF6-802C2B2F,CF6-80C2B6F,
No. of engines,4,4,4,2,2,2,2,2,2,
Static Thrust (kN),208.8,236.0,252.4,191.3,192.0,213.5,257.6,223.5,273.6,
Operational Items:,,,,,,,,,,
Accomodation:,,,,,,,,,,
Max. seats (single class),516,516,660,239,289,255,255,290,290,
Two class seating,442,442,496,186,239,216,216,261,261,
Three class seating,386,386,412,-,-,174,174,216,216,
No. abreast,10,10,10,6,6,8,8,8,8,
Hold volume (m3),171.00,171.00,171.00,50.69,70.90,87.00,87.00,114.10,114.10,
Volume per pPassenger,0.33,0.33,0.26,0.21,0.25,0.34,0.34,0.39,0.39,
Mass (Weight) (kg):,,,,,,,,,,
Ramp,341555,379200,397730,116360,122920,136985,175994,157396,181890,
Max. take-off,340195,377840,396830,115900,122470,136078,175540,156489,181437,
Max. landing,255830,255830,285760,95450,101600,122470,129293,136078,145149,
Zero-fuel,238815,238815,242670,84550,95250,112491,117934,126099,130634,
Max. payload,69625,62820,61186,25690,29470,34065,35652,39140,45541,
Max. fuel payload,24170,43110,,22610,21600,18098,,19050,,
Design payload,36670,36670,39140,17670,22705,33912,16530,24795,20520,
Design fuel load,134335,165175,176206,40190,33785,21245,75222,44559,71015,
Operational empty,169190,175995,181484,58040,65980,80921,83788,87135,89902,
Weight Ratios:,,,,,,,,,,
Ops empty/Max. T/O,0.497,0.466,0.457,0.501,0.539,0.595,0.477,0.557,0.495,
Max. payload/Max. T/O,0.205,0.166,0.154,0.222,0.241,0.250,0.203,0.250,0.251,
Max. fuel/Max. T/O,0.461,0.427,0.407,0.290,0.281,0.367,0.411,0.319,0.398,
Max. landing/Max. T/O,0.752,0.677,0.720,0.824,0.830,0.900,0.737,0.870,0.800,
Fuel (litres):,,,,,,,,,,
Standard,183380,198385,204350,42597,43490,63216,91380,63216,91380,
Optional,,,216850,,,,,,,
,,,,,,,,,,
Average (t/c) %,9.40,9.40,9.40,,,11.50,11.50,11.50,11.50,
Max. seats (single class),37.50,37.50,37.50,25.00,25.00,31.50,31.50,31.50,31.50,
High Lift Devices:,,,,,,,,,,
Trailing Edge Flaps Type,S3,S3,S3,S2,S2,S2/S1,S2/S1,S2/S1,S2/S1,
Flap Span/Wing Span,0.700,0.700,0.639,0.757,0.757,0.750,0.750,0.750,0.750,
Area (m2),78.7,78.7,78.7,30.380,30.380,36.88,36.88,36.88,36.88,
Leading Edge Flaps Type,kruger,kruger,kruger,slats,slats,slats,slats,slats,slats,
