Manufacturer,DOUG.,DOUG.,DOUG.,DOUG.,DOUG.,DOUG.,McDON.,McDON.,McDON.,McDON.
Type,,,,,,,/DOUG.,/DOUG.,/DOUG.,/DOUG.
Model,DC8-63,DC8-73,DC 9-10,DC 9-30,DC 9-40,DC 9-50,MD-81,MD-82,MD-83,MD-87
Initial service date,1959,1980,1965,1967,1968,1975,1980,1980,1980,1980
In service (ordered),,,,,,,,,,
Africa,--->,11,-,10,-,2,--->,--->,--->,8
Middle East/Asia/Pacific,--->,-,-,10,-,-,--->,--->,--->,94
Europe & CIS,--->,7,2,38,22,18,--->,--->,--->,336
North & South America,--->,235,92,448,47,72,--->,--->,--->,706(29)
Total aircraft,--->,253,94,506,69,92,--->,--->,--->,1144(28)
Engine Manufacturer,PW,CFMI,PW,PW,PW,PW,P&W,P&W,P&W,P&W
Model / Type,JT3D-3B,CFM56-2C,JT8D-5,JT8D-7,JT8D-15A,JT8D-15A,JT8D-209,JT8D-217AC,JT8D-219,JT8D-217B/C
No. of engines,4,4,2,2,2,2,2,2,2,2
Static Thrust (kN),80.1,98,54.5,62,68.9,68.9,85.6,92.7,96.5,92.7
Operational Items:,,,,,,,,,,
Accomodation:,,,,,,,,,,
Max. seats (single class),259,259,90,119,125,139,172,172,172,130
Two class seating,189,189,68,97,105,122,155,155,155,114
Three class seating,-,-,-,-,-,-,-,-,-,-
No. abreast,5,5,5,5,5,5,5,5,5,5
Hold volume (m3),70.8,70.8,17,25.3,28.9,28.4,35.20,35.20,28.70,26.60
Volume per passenger,0.27,0.27,0.19,0.21,0.23,0.20,0.20,0.20,0.17,0.20
Mass (Weight) (kg):,,,,,,,,,,
Ramp,160120,162000,35605,49500,52168,54700,63950,68270,73030,63950
Max. take-off,158760,161000,35245,49000,51710,54420,63500,67812,72580,63500
Max. landing,111130,117000,33565,45000,46265,49885,58000,58970,63280,58000
Zero-fuel,100458,104800,30120,39500,42184,44670,53500,55340,55340,53524
Max. payload,30719,29257,9570,14000,15510,15265,17953,18802,18721,17619
Max. fuel payload,15516.2,11988,3495,12484,12792,12600,10252,14620,14887,12728
Design payload,17955,17955,6460,9215,9975,11590,14725,14725,14725,10830
Design fuel load,71066,67545,8235,14385,13935,13530,13205,17457,21235,19417
