Manufacturer,ILYUSHIN,ILYUSHIN,ILYUSHIN,ILYUSHIN,TUPOLEV,TUPOLEV,TUPOLEV,TUPOLEV
Type,,,,,,,Tu-204,
Model,Il-62M/MK,Il-86,Il-96-300,Il-96M,Tu-134,Tu-154M,-200,Tu-334
Initial service date,1974,1980,1994,1996,,1972,1997,200?
In service (ordered),,,,,,,,
Asia,2,-,-,-,1,1,2,-
Europe,4,3,-,-,11,60,-,-
Mid. East; Africa,109(2),92,9 (9),(23),353,521,8,-
N. & S. America,9,-,-,-,-,6,-,-
Total aircraft,124(2),95,9(9),(23),365,580,10,-
Engine Manufacturer,Soloviev,Kuznetsov,Soloviev,P&W,Soloviev,Aviadvigatel,Soloviev,Lotarev
Model / Type,D-30KU,KKBM NK-86,PS-90A,2337,D-30 Srs II,D-30KU-154-II,PS-90A,D-436T1
No. of engines,4,4,4,4,2,3,2,2
Static Thrust (kN),107.9,127.5,156.9,164.6,66.7,104.0,157.0,73.6
Operational Items:,,,,,,,,
Accomodation:,,,,,,,,
Max. seats (single class),174,350,300,375,84,180,214,102
Two class seating,140,234,,335,68,154,196,85
Three class seating,-,-,235,312,-,-,190,-
No. abreast,6,9,9,9,4,6,6,6
Hold volume (m3),48.00,71.52,115.90,143.04,14.5,43.00,26.40,
Volume per passenger,0.28,0.20,0.39,0.38,0.17,0.24,0.12,0.00
Mass (Weight) (kg):,,,,,,,,
Ramp,,,,,47200,100450,111750,46700
Max. take-off,165000,208000,216000,270000,47000,100000,110750,46500
Max. landing,105000,175000,175000,175158,43000,80000,89500,43404
Zero-fuel,94600,,157000,190423,37250,74000,84200,41050
Max. payload,23000,42000,40000,58000,8200,18000,25200,11000
Max. fuel payload,9160,,0,17290,3550,11660,18999.6,6910
Design payload,13300,22230,22325,29640,6460,14630,18620,9690
Design fuel load,80100,185770,76675,107960,11490,30070,33130,6760
Operational empty,71600,,117000,132400,29050,55300,59000,30050
Weight Ratios:,,,,,,,,
Ops empty/Max. T/O,0.434,,0.542,0.490,0.618,0.553,0.533,0.646
Max. payload/Max. T/O,0.139,0.202,0.185,0.215,0.174,0.180,0.228,0.237
Max. fuel/Max. T/O,0.504,0.433,0.550,0.440,0.303,0.326,0.292,0.203
Max. landing/Max. T/O,0.636,0.841,0.810,0.649,0.915,0.800,0.808,0.933
Fuel (litres):,,,,,,,,
Standard,105300,114000,150387,150387,18000,41300,40938,11925
Optional,,,,,,47000,,
,,,,,,,,
DIMENSIONS,,,,,,,,
Fuselage:,,,,,,,,
Length (m),49.00,56.10,51.15,60.50,33.20,43.50,46.70,25.90
Height (m),4.30,6.08,6.08,6.08,2.90,3.80,3.80,4.05
Width (m),4.30,6.08,6.08,6.08,2.90,3.80,4.10,4.05
Finess Ratio,11.40,9.23,8.41,9.95,11.45,11.45,11.39,6.40
Wing:,,,,,,,,
Area (mý),279.55,320.00,391.60,391.60,127.30,201.45,182.40,83.23
Span (m),43.20,48.06,55.57,55.57,29.00,37.55,40.30,28.00
MAC (m),7.47,7.69,8.04,8.04,5.13,6.25,5.40,3.53
Aspect Ratio,6.68,7.22,7.89,7.89,6.61,7.00,8.90,9.42
Taper Ratio,0.254,0.265,0.279,0.279,0.255,0.267,0.228,0.228
Average (t/c) %,,,,,,,,
1/4 Chord Sweep (§),32.50,35.00,30.00,30.00,35.00,35.00,28.00,24.00
High Lift Devices:,,,,,,,,
Trailing Edge Flaps Type,S2,S2,S2,S2,S2,S3,S2,S2
Flap Span/Wing Span,0.720,0.740,0.790,0.790,0.605,0.750,0.770,0.670
Area (m2),43.48,,,,22.5,,,
Leading Edge Flaps Type,none,slats,slats,slats,none,slats,slats,slats
Area (mý),,,,,-,,,
Vertical Tail:,,,,,,,,
Area (mý),35.60,57.10,61.00,56.20,21.25,31.70,34.20,23.50
Height (m),6.05,8.80,9.40,8.00,5.25,5.60,7.70,4.65
Aspect Ratio,1.03,1.36,1.45,1.14,1.30,0.99,1.73,0.92
Taper Ratio,0.540,0.330,0.280,0.400,0.560,0.650,0.340,0.830
1/4 Chord Sweep (§),40.00,44.00,45.00,45.00,40.00,45.00,36.00,37.50
Tail Arm (m),16.60,24.90,23.55,25.90,13.20,14.40,21.80,10.20
Sv/S,0.127,0.178,0.156,0.144,0.167,0.157,0.188,0.282
SvLv/Sb,0.049,0.092,0.066,0.067,0.076,0.060,0.101,0.103
Horizontal Tail:,,,,,,,,
Area (m2),50.50,90.90,96.50,96.50,30.68,42.20,44.60,22.30
Span (m),12.23,20.57,20.57,20.57,11.80,13.40,15.10,10.70
Aspect Ratio,2.96,4.65,4.38,4.38,4.54,4.25,5.11,5.13
Taper Ratio,0.360,0.410,0.290,0.290,0.396,0.480,0.300,0.360
1/4 Chord Sweep (§),35.00,36.00,37.50,37.50,35.00,40.00,34.00,27.00
Tail Arm  (m),22.50,25.30,24.25,26.50,14.90,18.30,21.30,12.80
Sh/S,0.181,0.284,0.246,0.246,0.241,0.209,0.245,0.268
ShLh/Sc,0.544,0.935,0.743,0.812,0.700,0.613,0.964,0.972
Undercarriage:,,,,,,,,
Track (m),6.80,11.15,10.40,10.40,10.50,11.50,7.82,4.70
Wheelbase (m),24.49,21.34,20.07,27.35,15.80,18.92,17.00,11.25
Turning radius (m),,,,,,36.00,,
No. of wheels (nose;main),2;8,2;8,2;8,2;8,2;8,2;12,2;8,2;4
Main Wheel diameter (m),1.450,1.300,1.300,1.300,0.930,0.930,,
Main Wheel width (m),0.450,0.480,0.480,0.480,0.305,0.305,,
Nacelle:,,,,,,,,
Length (m),6.15,7.00,5.90,6.00,5.75,7.10,6.00,5.00
Max. width (m),2.35,2.00,2.20,2.60,1.55,2.20,2.60,1.90
Spanwise location,,0.41/0..69,0.37/0.58,0.37/0.58,-,-,0.330,-
,,,,,,,,
PERFORMANCE,,,,,,,,
Loadings:,,,,,,,,
Max. Power Load (kg/kN),382.30,407.84,344.17,410.09,352.32,320.51,352.71,316.11
Max. Wing Load (kg/m2),590.23,650.00,551.58,689.48,369.21,496.40,607.18,558.72
Thrust/Weight Ratio,0.267,0.250,0.296,0.249,0.289,0.318,0.289,0.322
Take-off (m):,,,,,,,,
ISA sea level,3300,2600,2760,3350,2400,2100,2500,
ISA +20§C SL.,,,,,,2420,,
ISA 5000ft,,,,,,2500,,
ISA +20§C 5000ft,,,,,,3240,,
Landing (m):,,,,,,,,
ISA sea level.,2500,2300,1980,2250,2200,2060,2130,
ISA +20§C SL.,,,,,,2210,,
ISA 5000ft,,,,,,2330,,
ISA +20§C 5000ft,,,,,,2600,,
Speeds (kt/Mach):,,,,,,,,
V2,145,,,,,138,151,
Vapp,129,140,140,,,121,,
Vno/Mmo,486,,,0.86,,310/M0.90,314/,
Vne/Mme,,,,,,,340/,
CLmax (T/O),2.45,,,,,2.27,2.32,
CLmax (L/D @ MLM),2.31,2.85,2.33,,,2.77,,
Max. cruise :,,,,,,,,
Speed (kt),486,512,486,469,458,514,458,448
Altitude (ft),33000,9000,10100,9000,32800,31000,40000,
Fuel consumption (kg/h),,,,,,4600,3270,
Long range cruise:,,,,,,,,
Speed (kt),442,486,459,459,432,459,,
Altitude (ft),39400,11000,12100,12000,36100,36000,,36500
Fuel consumption (kg/h),,,,,,3650,,
Range (nm):,,,,,,,,
Max. payload,4160,1944,4050,,1020,2019,1565,1080
Design range,,,4860,6195,1550,2805,,
Max. fuel (+ payload),4963,2480,5940,,,3564,2079,1566
Ferry range,,,,,,,,
Design Parameters:,,,,,,,,
W/SCLmax,2508,2234,2320,,,1755.10,,
W/aCLtoST,3583,3406,2984,,,2102.53,,
Fuel/pax/nm (kg),,,,0.0520,0.1090,0.0696,,
Seats x Range (seats.nm),,,,2075325,105400,431970,,
